ax,ay,az,gx,gy,gz
-327,2986,323,277,339
-102,-231,2889,187,314,185
-104,-7,2848,224,301,-48
0,-112,2903,367,371,25
126,-140,2896,444,375,105
338,-119,2764,580,128,181
180,177,2656,684,-166,245
51,367,2579,903,-265,256
-218,483,3095,1424,-181,360
-144,14,3674,1452,-139,215
87,-452,4182,1186,-204,126
-23,-539,4287,630,-616,9
-50,-342,3995,396,-758,23
-216,8,3826,387,-540,218
-239,341,3919,890,-127,452
-312,402,4189,1138,165,844
-339,844,4371,1410,272,1082
-379,844,4498,1512,39,1056
-152,713,4755,1365,-129,754
57,477,4736,1061,-560,344
67,293,4933,575,-1237,-448
-204,434,5289,264,-1693,-858
-371,480,5220,129,-1826,-1211
-200,273,5328,452,-1286,-1137
-253,-134,5933,1075,-106,-452
-191,-472,6171,1244,379,-476
-36,-786,6389,989,527,-573
-103,-677,6338,204,48,-691
4,-515,6158,-108,-278,-733
-83,-476,6210,-180,-431,-613
-217,-459,6413,-181,-349,-607
-252,-673,6527,-274,-17,-644
-142,-660,6120,-512,247,-666
211,-694,5454,-632,686,-465
203,-527,5053,-728,842,-189
88,-273,4788,-740,859,77
48,-129,4490,-361,786,254
39,-261,4518,-252,782,363
-100,-57,4513,-447,790,391
-178,-38,4476,-644,661,252
-344,98,4359,-781,881,209
-279,51,4190,-894,996,250
-158,127,4001,-914,1056,395
-71,261,3721,-938,972,462
-102,400,3557,-854,911,487
-69,360,3543,-687,855,478
-53,33,3862,-524,719,527
-131,-84,4037,-657,639,515
-144,-71,3990,-824,392,507
-384,120,3705,-981,213,531
-487,252,3471,-940,187,484
-451,250,3311,-758,369,526
-308,106,3161,-538,548,504
-286,172,3016,-504,390,370
-214,127,2922,-470,197,220
-110,28,2938,-515,-27,112
37,-13,2830,-570,-196,88
62,85,2537,-567,-258,59
36,203,2224,-314,-78,182
-104,260,2098,-2,171,351
-98,106,2223,269,396,444
-23,124,2205,387,330,430
-16,297,2153,515,2,229
62,402,2164,661,-171,98
18,369,2317,826,-107,28
19,259,2713,886,-178,-19
-53,199,2950,820,-310,-28
-236,210,3243,736,-420,-106
-433,185,3485,690,-555,-259
-370,117,3416,716,-689,-306
-164,172,3344,804,-476,-181
115,129,3249,1116,-456,206
146,110,3363,1261,-494,424
36,97,3520,1270,-672,497
138,94,3683,1189,-688,678
-29,11,4162,1147,-540,913
-294,213,4500,955,-880,967
-478,283,4806,837,-923,654
-435,243,5077,560,-1119,223
-274,301,4973,296,-1182,5
-112,447,4838,245,-1108,-85
364,284,4928,563,-1236,-64
276,186,5160,718,-1220,54
173,248,5314,613,-1321,112
-92,740,5172,430,-1090,132
-7,598,5277,642,-799,183
149,589,5279,790,-579,241
172,665,5174,842,-210,102
283,598,5192,947,-279,-86
291,441,5333,1012,-415,-154
87,222,5768,749,-725,-207
-875,-194,6089,-2730,-240,-784
-558,119,5517,-2037,-53,-1196
-749,567,5030,360,-194,-1049
-62,373,5256,1031,69,-1078
-92,100,5129,1033,358,-643
-269,270,5131,332,321,-711
151,56,5096,217,320,-873
279,-262,5456,116,261,-909
217,-306,5564,-86,115,-1065
100,-288,5529,-260,202,-1196
137,-283,5654,-209,489,-1135
189,-367,5563,-225,705,-943
171,-252,5197,-422,972,-750
161,-207,4937,-476,1119,-661
1,-56,4694,-486,1207,-534
7,7,4367,-588,1167,-358
47,69,4219,-531,1290,-212
163,-13,4161,-393,1164,-85
107,4,4085,-250,906,62
95,-43,4138,-262,750,118
-92,-22,4182,-349,652,114
-209,115,4105,-552,469,-150
-178,93,4066,-593,490,-221
-91,-26,4075,-564,599,-139
-143,-81,4092,-593,624,76
-225,1,4133,-649,482,80
-267,-62,4113,-651,395,48
-227,-115,4145,-644,350,12
-199,-169,4081,-643,422,42
-425,23,3967,-579,528,90
-488,137,3875,-430,516,85
-527,-114,4398,-131,601,186
-425,-323,4883,-274,638,238
-318,-376,5029,-511,718,193
-320,-220,4761,-838,574,20
-235,-104,4475,-980,429,-118
-223,6,4225,-1008,464,-86
-208,88,4014,-944,550,-198
-169,83,3837,-911,490,-173
-123,105,3671,-808,602,-11
45,48,3409,-794,584,65
29,166,3162,-746,439,269
19,202,2980,-566,335,524
-8,145,2993,-320,232,749
-168,162,3013,-286,239,843
-307,281,2924,-301,289,959
-294,288,2782,-237,461,1022
-264,321,2577,-175,517,993
-287,397,2467,-153,436,943
-302,408,2421,-102,285,866
-239,260,2475,15,26,776
-373,392,2492,63,-135,802
-466,404,2373,191,-169,827
-578,518,2646,809,-70,714
-380,188,2748,544,-204,321
-511,237,2906,564,-295,375
-516,192,3061,570,-484,167
-533,248,3080,536,-481,231
-508,379,3140,573,-452,245
-368,392,3272,719,-600,96
-351,355,3445,783,-632,84
-361,334,3620,843,-560,125
-405,333,3762,960,-348,215
-316,198,4066,974,-339,229
-435,172,4180,823,-531,188
-517,263,4262,528,-722,-55
-600,339,4307,422,-808,-198
-593,428,4245,346,-786,-256
-528,548,4061,372,-679,-160
-527,662,3914,662,-547,109
-616,671,4025,851,-508,175
-671,497,4267,968,-444,91
-697,382,4580,851,-393,-43
