,-46,4155,-44,69,132
76,-53,4160,-56,46,123
60,-33,4193,-29,10,66
51,-32,4163,8,26,10
32,-69,4165,4,78,-13
54,-36,4195,7,71,-14
-31,-9,4186,9,123,1
-86,-28,4155,56,111,-4
-32,-62,4122,68,129,-3
5,-88,4117,34,159,47
51,-47,4190,10,154,75
15,-30,4159,32,155,62
40,-53,4178,46,147,45
142,-143,4160,35,-17,48
-40,-2,4144,35,-28,-6
-79,11,4125,47,-16,-61
-74,-36,4136,-4,-104,-28
-7,-17,4174,-23,-211,-19
-86,-32,4124,-30,-109,10
-98,-58,4087,-26,-75,26
-94,-83,4111,-100,-97,80
-92,-48,4182,-109,-202,157
8,-66,4228,-17,-350,258
128,-93,4249,56,-378,325
72,-71,4227,132,-307,235
-214,-22,4235,163,-207,5
252,-339,3932,-35,271,-679
-54,-136,4096,-89,66,-394
-239,5,4171,-102,41,-384
-389,69,4092,-239,101,-610
-108,20,4087,-281,350,-710
10,-24,4213,-220,256,-373
-1,-77,4178,-134,-144,27
-14,-76,4209,-51,-319,131
-66,-51,4151,-48,-293,98
121,-180,4167,-62,-223,56
131,-192,4114,-94,-175,63
260,-289,4220,-89,-167,63
-16,-82,4192,-183,-46,-16
113,-45,4244,-48,45,-214
8,6,4259,134,2,-133
-21,2,4218,203,122,-23
0,-153,4064,173,227,-106
87,-156,4136,80,79,-6
7,-117,4124,19,-41,56
-37,-75,4119,-15,18,-89
64,-100,4172,-50,76,-125
57,-23,4236,16,115,-76
-19,-52,4151,90,63,14
39,-112,4181,239,33,68
21,-62,4166,95,67,154
-26,-71,4097,170,62,196
24,-113,4080,116,86,159
-8,-126,4051,74,73,111
-25,-48,4142,-107,-35,107
12,-42,4174,-148,-72,198
19,0,4236,-118,-73,275
17,55,4280,64,65,272
40,-72,4212,163,149,186
84,-163,4166,193,170,108
80,-162,4069,118,115,16
7,-53,4128,73,128,-56
34,-39,4061,94,360,-90
6,-156,4028,96,269,-5
-121,54,4201,-63,8,158
-81,-6,4181,-70,5,96
-21,6,4163,-58,8,37
67,-58,4188,-58,-48,128
75,-26,4199,-105,-67,210
69,-15,4223,-46,-3,188
20,-67,4154,53,155,-6
-77,-77,4111,82,212,-43
-83,-99,4141,62,218,-18
-55,-93,4153,46,166,59
-51,-13,4149,-24,-32,134
-83,-3,4216,-19,-128,258
-28,-74,4147,43,-85,228
34,-79,4098,-63,-97,185
-44,-57,4186,6,-12,187
-23,-91,4111,10,10,92
-20,-68,4166,-81,-95,113
-78,-54,4143,-67,13,100
-11,-92,4102,-91,42,46
68,-71,4183,-61,21,64
-7,-49,4158,-31,-18,134
-22,-50,4110,-10,-5,88
86,-57,4188,-77,-97,161
-14,56,4275,-34,-101,197
110,-73,4197,32,70,126
27,-57,4139,32,-41,168
-49,-45,4171,-34,-107,156
48,-41,4134,-53,-95,160
78,-49,4109,-42,-27,105
20,-25,4166,-21,-6,112
8,-47,4132,1,58,104
-50,-28,4169,-14,-20,124
-52,-44,4179,13,-6,108
57,-88,4174,28,-53,82
5,-86,4168,24,-31,65
-59,-29,4177,36,-80,59
18,-58,4193,75,-44,44
26,-67,4146,66,74,35
-20,-1,4146,68,-34,97
-31,-104,4073,62,-30,113
-1,-81,4056,24,-86,76
-31,-74,4095,-16,-28,57
54,-112,4132,-12,-25,37
107,-114,4211,-4,1,86
46,-57,4227,22,-18,93
33,-103,4203,55,68,106
70,-79,4204,69,37,48
66,-26,4148,40,48,-31
47,-139,4142,78,88,-22
-11,-79,4146,64,30,-10
-54,-125,4059,11,-15,20
-66,-111,4117,-16,-55,90
-65,-49,4229,-29,-11,113
-10,-19,4283,35,-76,126
-16,-91,4167,63,-46,90
-11,-108,4110,46,-45,60
21,-49,4171,9,-74,95
79,-135,4163,-37,37,109
81,-99,4250,-26,-23,96
67,-71,4250,-14,10,80
67,-124,4153,60,34,21
9,-132,4136,60,53,14
