ax,ay,az,gx,gy,gz
12,135,2170,-35,27,263
19,187,2176,-136,77,361
-4,139,2094,-282,319,458
152,124,2151,-404,550,372
269,130,2144,-501,644,310
365,87,2108,-694,460,474
395,90,2295,-895,388,520
582,68,2406,-1065,347,440
675,-82,2411,-1171,267,408
643,-116,2591,-1350,231,447
613,-34,2899,-1404,181,385
708,-12,3301,-1406,199,315
765,-100,3868,-1525,592,43
770,23,4177,-1596,690,-145
717,35,4257,-1684,699,-144
531,61,4399,-1765,660,74
483,-102,4701,-1796,733,196
355,493,5045,-946,1183,-238
590,134,5804,-1920,1199,-747
696,338,6334,-210,1357,186
395,177,6812,-243,632,885
-112,916,7659,-664,-164,547
-206,1115,8394,-680,91,-34
2452,1485,10252,-3689,-2744,-541
162,703,7426,1883,211,-172
-1712,1235,7207,3016,2145,-2196
-973,345,6749,1440,2195,-2055
-976,97,6326,1006,779,-1291
-1633,235,6047,547,256,-977
-1468,402,6141,304,-243,-718
-1031,369,6162,495,-554,-246
-769,36,5789,1036,-875,714
-665,-69,5442,1270,-998,1064
-523,-233,5155,1296,-1027,1079
-373,-167,4902,1191,-969,1030
-245,-105,4694,1154,-941,1049
-279,-97,4568,1233,-751,1253
-331,-89,4501,1288,-607,1255
-399,-103,4319,1206,-770,1166
-469,-10,4157,1139,-940,1131
-353,-22,3864,1093,-891,1188
-168,-69,3656,1015,-772,1147
124,-63,3396,963,-847,1185
340,-156,3029,1099,-800,1388
505,-229,2482,1132,-891,1404
434,-209,2201,1037,-588,1433
250,-164,1736,868,231,1079
171,-65,1316,789,706,877
141,-99,1238,647,772,760
209,-12,1398,348,522,708
459,83,1659,-154,-110,727
590,206,1872,-369,-322,687
561,305,2080,-429,-519,600
669,396,2079,-287,-556,339
788,218,1771,-113,-383,161
766,40,1513,-19,-285,-1
551,0,1378,32,176,-80
355,65,1487,168,309,-138
251,-5,1539,-489,753,-775
301,119,2120,-1172,302,-545
369,306,2705,-1282,-193,-124
410,401,3156,-1223,-359,67
399,383,3443,-1030,136,-114
326,440,3585,-936,491,-476
362,347,3748,-812,944,-812
455,240,3906,-685,1102,-884
720,141,4303,-734,737,-626
519,137,4476,-746,163,-72
290,241,4758,-697,-253,429
203,347,5038,-680,205,404
225,338,5236,-692,440,81
191,430,5478,-653,649,-170
132,367,5748,-577,792,-539
172,216,5738,-640,741,-823
62,156,5769,-809,527,-932
-151,206,6091,-1020,-2,-565
-204,388,6416,-1017,-316,-217
-107,450,6973,-901,-389,24
-51,395,7317,-476,-164,154
-273,223,7140,-125,25,49
-731,236,7028,21,338,-256
-969,330,6903,-111,141,-664
-938,270,6701,-151,-278,-559
-947,186,6526,-168,-765,-344
-997,304,6425,38,-1126,-93
-754,272,5997,405,-967,-10
-735,71,5505,808,-551,119
-720,-177,5110,1091,-395,380
-504,-257,4657,1067,-452,558
-287,-336,4518,995,-657,681
-176,-232,4399,952,-574,668
-183,-319,4017,661,-857,682
-36,-361,3772,780,-1066,500
249,-447,3377,706,-1296,336
115,-216,3023,558,-921,253
-62,-166,2902,508,-830,121
169,-42,2872,466,-803,-142
621,-214,2512,279,-517,-299
653,-87,2584,181,-744,-267
599,125,2691,154,-836,-130
496,102,2521,248,159,-146
450,142,2442,255,447,-258
518,192,2368,194,503,-148
683,193,2244,120,277,75
747,281,2207,21,-36,148
677,319,2216,-118,-231,165
665,324,2179,-347,-359,177
671,356,2132,-463,-211,231
675,372,2168,-547,-112,326
770,281,2185,-542,0,491
819,194,2393,-519,-174,642
897,298,2810,-523,-276,628
926,257,2963,-537,31,493
938,54,3089,-573,479,209
832,-30,3254,-728,532,130
713,-7,3495,-946,386,156
683,130,3797,-1130,308,205
625,133,4104,-1092,121,248
809,115,4437,-934,-45,343
900,104,4695,-799,160,301
696,80,4911,-728,268,211
520,156,5107,-685,318,87
390,207,5536,-469,443,-111
439,196,5889,-342,544,-241
322,277,6185,-291,739,-336
291,380,6511,-172,810,-492
-15,377,6940,-24,837,-549
-208,439,7142,187,696,-615
-386,417,7043,381,512,-574
-577,160,6480,501,-96,-176
-742,70,6070,597,-319,273
-908,-24,5660,539,-321,538
-879,-95,5323,479,-95,576
-586,-123,5248,483,38,464
-287,-199,5077,560,-50,438
-141,-199,4792,725,-293,404
-110,-176,4572,767,-442,297
-46,-156,4169,801,-197,285
-71,-403,3618,748,-305,208
-107,-237,3626,676,-611,84
-34,-222,3462,463,-489,222
80,-100,3259,207,-31,330
207,-68,3298,137,271,386
306,-99,3350,148,387,348
415,-20,3360,144,325,163
496,55,3065,173,247,13
474,70,2843,195,93,-127
481,137,2719,-10,-381,37
501,224,2602,-57,-357,270
364,108,2581,-2,-201,396
422,169,2664,-12,-19,310
458,270,2821,-192,356,60
491,331,3030,-312,368,-112
599,380,3253,-401,224,-274
280,428,3420,-367,-127,-382
16,415,3563,-354,-232,-496
-82,423,3615,-383,-90,-619
-26,446,4043,-493,-83,-668
-34,501,4313,-486,89,-523
-150,474,4488,-379,210,-365
-106,382,4465,-183,406,-193
-208,270,4386,-67,511,-60
-351,176,4447,16,361,26
-332,102,4494,52,190,164
-295,41,4654,140,61,244
-259,30,4725,72,81,531
-76,-60,4716,30,130,934
341,-29,5014,-63,133,659
633,-60,5164,-75,134,467
843,-11,5201,4,71,419
867,40,5004,247,426,405
748,-101,4781,376,572,286
697,-226,4508,420,798,163
537,-482,4269,256,717,89
468,-647,4215,91,460,217
506,-661,4307,-38,169,397
638,-681,4305,-11,69,706
602,-690,4271,73,-13,712
585,-719,4176,121,-1,615
